DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07
"Samsung Galaxy A71 (Prism Crush Black, 8GB RAM, 128GB)",4.2 out of 5 stars,704,https://images-na.ssl-images-amazon.com/images/I/71Wh8ZPcGBL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XBYLRVB/ref=sr_1_37?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-37,27499,unavailable,unavailable,unavailable,27499,29499,29499,unavailable,unavailable,unavailable,28999,28999,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499,27499
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB)",4.0 out of 5 stars,1059,https://images-na.ssl-images-amazon.com/images/I/81liHd1KM-L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGV7/ref=sr_1_38?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-38,17999,17999,17999,17999,17999,17999,17999,unavailable,unavailable,unavailable,17999,17999,17300,17300,17999,16925,17300,17300,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung Galaxy J2 2018 (Gold, 2GB RAM, 16GB)",4.1 out of 5 stars,831,https://images-na.ssl-images-amazon.com/images/I/61n4Z1Qmp2L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-2018-Storage-Offers/dp/B07C7B89CV/ref=sr_1_39?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-39,7490,7490,7490,7490,7990,7990,7990,7990,7990,7990,7990,7990,7990,8190,8190,8190,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"Samsung Galaxy A51 (Blue, 8GB RAM, 128GB)",4.0 out of 5 stars,505,https://images-na.ssl-images-amazon.com/images/I/815-Kg258tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07XD2HY8Y/ref=sr_1_40?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22499,22999
"Samsung Galaxy A51 (Haze Crush Silver, 6GB RAM, 128GB)",4.1 out of 5 stars,2341,https://images-na.ssl-images-amazon.com/images/I/815-Kg258tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ7C7W/ref=sr_1_41?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-41,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,20999,unavailable,unavailable,unavailable,unavailable,unavailable,20999,20999,20999,20999,20999,20999,unavailable,unavailable,20999,unavailable,20999
"Samsung Galaxy A21s (Blue, 6GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KGPM5G/ref=sr_1_42?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-42,16498,16498,16498,16498,16498,16498,16498,14999,14999,14999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,14999,14999,13999,13999,13999,13999,13999
"Samsung Galaxy A70s (White, 8GB RAM, 128GB)",4.0 out of 5 stars,768,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Test-Dummy_March_2019_46-Black-with-Offer/dp/B07PRBKG12/ref=sr_1_43?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-43,22980,22900,22800,22800,22380,22320,22320,22200,22130,21920,21850,21850,21849,21849,21825,21825,21700,21700,21670,21640,21640,21670,21670,21870,21870,21999,22999,22999,22999,22999
"Samsung Galaxy A31 (Prism Crush White, 6GB RAM, 128GB)",4.0 out of 5 stars,1059,https://images-na.ssl-images-amazon.com/images/I/816-h37brML._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KDJGT6/ref=sr_1_44?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-44,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung Galaxy A50s (Prism Crush Black, 4GB RAM, 128GB)",4.1 out of 5 stars,5364,https://images-na.ssl-images-amazon.com/images/I/61xfgtY3cpL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07S6BW82H/ref=sr_1_45?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-45,22990,18990,22990,22990,19990,19490,19490,unavailable,18999,unavailable,22990,22990,22990,19990,19990,22590,22590,22590,17999,unavailable,22699,22699,22699,22699,22699,18990,19990,18900,18990,18990
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB)",4.4 out of 5 stars,31750,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A001861434VOTEG3D8QD4&url=%2FSamsung-Galaxy-Celestial-Black-Storage%2Fdp%2FB085J1CPCW%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346896%26sr%3D8-49-spons%26psc%3D1&qualifier=1612346896&id=1867832574919460&widgetName=sp_atf_next,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy A70s (Red, 8GB RAM, 128GB)",4.0 out of 5 stars,768,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Test-Dummy_March_2019_45-Black-with-Offer/dp/B07PP2K2PK/ref=sr_1_51?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-51,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,22999
"Samsung Galaxy A21s (Blue, 6GB, 128GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B084459YBD/ref=sr_1_53?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-53,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499
"Samsung Galaxy On7 Prime (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,7721,https://images-na.ssl-images-amazon.com/images/I/61EM4uS-5iL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Prime-Black-Storage/dp/B0756ZD5PM/ref=sr_1_54?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-54,12990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,12990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy A50s (Prism Crush White, 4GB RAM, 128GB)",4.1 out of 5 stars,5364,https://images-na.ssl-images-amazon.com/images/I/61xfgtY3cpL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07SDPTP6F/ref=sr_1_55?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-55,22990,18990,22990,22990,19990,19490,19490,unavailable,18999,unavailable,22990,22990,22990,19990,19990,22590,22590,22590,17999,unavailable,22699,22699,22699,22699,22699,18990,19990,18900,18990,18990
"Samsung Galaxy M11 (Metallic Blue, 3GB RAM, 32GB)",,,https://images-na.ssl-images-amazon.com/images/I/51HNjnew1IL._SX679_.jpg,https://www.amazon.in/Samsung-Galaxy-Metallic-Blue-Storage/dp/B08B482983/ref=sr_1_57?dchild=1&keywords=Samsung+Mobiles&qid=1612346896&sr=8-57,12499,unavailable,unavailable,unavailable,11499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11999,11999,10999,10999,10999,10999,10999,10999,10999,10999,10999,unavailable
"Samsung Galaxy S21 Ultra 5G (Phantom Black, 12GB, 256GB)",3.8 out of 5 stars,152,https://images-na.ssl-images-amazon.com/images/I/917nPCOw9-L._SX679_.jpg,https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B08LRDTN6H/ref=sr_1_66?dchild=1&keywords=Samsung+Mobiles&qid=1612346899&sr=8-66,"1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00","1,05,999.00"
"Samsung Galaxy A70s (White, 6GB RAM, 128GB)",4.0 out of 5 stars,768,https://images-na.ssl-images-amazon.com/images/I/71W%2BOhxA8IL._SX679_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07S9G6237/ref=sr_1_84?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-84,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,21990,21849,21990,21825,21990,21990,21670,21640,21640,21670,21670,21870,21870,20900,22999,22999,22999,22999
"Samsung Galaxy Note10 Lite (Aura Glow, 8GB RAM, 128GB)",4.0 out of 5 stars,1388,https://images-na.ssl-images-amazon.com/images/I/71T0KJFxCHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YN2FJ/ref=sr_1_85?dchild=1&keywords=Samsung+Mobiles&qid=1612346902&sr=8-85,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999,36999
"Samsung Galaxy S20 Ultra (Cloud White, 12GB RAM, 128GB)",4.0 out of 5 stars,16,https://images-na.ssl-images-amazon.com/images/I/710PrlbpGAL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS6KLN/ref=sr_1_97?dchild=1&keywords=Samsung+Mobiles&qid=1612346904&sr=8-97,97999,97999,97999,97999,97999,97999,97999,97999,84994,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999,97999
"Oppo A31 (Mystery Black, 6GB RAM, 128GB)",4.0 out of 5 stars,3169,https://images-na.ssl-images-amazon.com/images/I/71KCwNV6MuL._SX679_.jpg,https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_1?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-1,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990
"Oppo A31 (Fantasy White, 6GB RAM, 128GB)",4.0 out of 5 stars,3169,https://images-na.ssl-images-amazon.com/images/I/61IhTtJUXJL._SX679_.jpg,https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_2?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-2,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990,11990
"Oppo F17 (Dynamic Orange, 6GB RAM, 128GB)",3.7 out of 5 stars,911,https://images-na.ssl-images-amazon.com/images/I/81Nv7yT879L._SX679_.jpg,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KFV4L4/ref=sr_1_7?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-7,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990
"Oppo Reno2 F (Lake Green, 6GB RAM, 256GB)",4.4 out of 5 stars,12,https://images-na.ssl-images-amazon.com/images/I/51daXWoYu2L._SX679_.jpg,https://www.amazon.in/Oppo-Reno2-Green-256GB-Storage/dp/B08RXCHBRF/ref=sr_1_11?dchild=1&keywords=Oppo+Mobiles&qid=1612346908&sr=8-11,19578,19450,19794.99,19794.99,19748,19699.99,19699.99,19490,19390,19740,19680,19680,19599,19380,19210,unavailable,19980,19980,19898,unavailable,unavailable,unavailable,unavailable,19989,19989,unavailable,19990,19990,19990,unavailable
"Oppo A53 (Fairy White, 4GB RAM, 64GB)",4.0 out of 5 stars,838,https://images-na.ssl-images-amazon.com/images/I/71cnZVgDIoL._SX679_.jpg,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS6R6V/ref=sr_1_19?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-19,12989,12989,12989,12989,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990
"Oppo A5s (Blue, 4GB RAM, 64GB)",3.7 out of 5 stars,7,https://images-na.ssl-images-amazon.com/images/I/81uJLUPkbvL._SY879_.jpg,https://www.amazon.in/Oppo-A5s-Blue-64GB-Storage/dp/B07Y24S2WY/ref=sr_1_24?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-24,10789,10999,10999,10999,10750,10740,10740,10739,10739,10698,10698,10698,10698,10695,10695,10695,10689,10689,10688,10688,10685,10680,10680,10680,10680,10680,10678,10677,10676,10669
"Oppo F17 (Navy Blue, 6GB RAM, 128GB)",3.7 out of 5 stars,911,https://images-na.ssl-images-amazon.com/images/I/81lDF673d9L._SX679_.jpg,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086KDJ6NP/ref=sr_1_25?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-25,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990
"Oppo A53 (Electric Black, 4GB RAM, 64GB)",4.0 out of 5 stars,838,https://images-na.ssl-images-amazon.com/images/I/71pu5oj8MvL._SX679_.jpg,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTMLDF/ref=sr_1_27?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-27,12989,12989,12989,12989,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990
"Oppo A53 (Electric Black, 6GB RAM, 128GB)",4.0 out of 5 stars,838,https://images-na.ssl-images-amazon.com/images/I/71pu5oj8MvL._SX679_.jpg,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTKP2J/ref=sr_1_31?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-31,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490
"Oppo F17 (Classic Silver, 6GB RAM, 128GB)",3.7 out of 5 stars,911,https://images-na.ssl-images-amazon.com/images/I/81Nv7yT879L._SX679_.jpg,https://www.amazon.in/Classic-Silver-Storage-Additional-Exchange/dp/B086KDZGT8/ref=sr_1_32?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-32,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB)",3.7 out of 5 stars,911,https://images-na.ssl-images-amazon.com/images/I/81-xJ79cnjL._SX679_.jpg,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KGHVK4/ref=sr_1_33?dchild=1&keywords=Oppo+Mobiles&qid=1612346910&sr=8-33,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490
"Oppo F17 (Navy Blue, 8GB RAM, 128GB)",3.7 out of 5 stars,911,https://images-na.ssl-images-amazon.com/images/I/81lDF673d9L._SX679_.jpg,https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086K9XS34/ref=sr_1_34?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-34,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490,18490
"Oppo A53 (Fairy White, 6GB RAM, 128GB)",4.0 out of 5 stars,838,https://images-na.ssl-images-amazon.com/images/I/71cnZVgDIoL._SX679_.jpg,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B089MS4ZG9/ref=sr_1_37?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-37,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490,15490
"Oppo mobile A1K Phone (Red, 2GB RAM, 32GB)",4.3 out of 5 stars,4,https://images-na.ssl-images-amazon.com/images/I/21adpO7OnLL.jpg,https://www.amazon.in/Oppo-mobile-Phone-32GB-Storage/dp/B07ZP8W2LF/ref=sr_1_40?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo Reno3 Pro (Midnight Black, 8GB RAM, 256GB)",4.0 out of 5 stars,679,https://images-na.ssl-images-amazon.com/images/I/81dxd7vkdZL._SX679_.jpg,https://www.amazon.in/Midnight-Storage-Additional-Exchange-Offers/dp/B084457WQB/ref=sr_1_43?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-43,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,24990,24990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990
"Oppo Reno2 F (Sky White, 6GB RAM, 256GB)",4.4 out of 5 stars,12,https://images-na.ssl-images-amazon.com/images/I/51TL8Wht6%2BL._SX679_.jpg,https://www.amazon.in/Oppo-Reno2-White-256GB-Storage/dp/B08RXC85Y3/ref=sr_1_48?dchild=1&keywords=Oppo+Mobiles&qid=1612346913&sr=8-48,19990,19450,19794.99,19794.99,19748,19699.99,19699.99,19990,19990,19990,19680,19680,19990,19380,19980,unavailable,19980,19980,19898,unavailable,unavailable,unavailable,unavailable,19989,19989,unavailable,19990,19990,19990,unavailable
"Oppo Reno4 Pro (Silky White, 8GB RAM, 128GB)",4.3 out of 5 stars,411,https://images-na.ssl-images-amazon.com/images/I/81dBes518cL._SX679_.jpg,https://www.amazon.in/Reno4-Storage-Additional-Exchange-Offers/dp/B089MS7L7P/ref=sr_1_58?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-58,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990
"Oppo Realme 5 Pro (6 GB RAM, 64 GB)",4.2 out of 5 stars,39,https://images-na.ssl-images-amazon.com/images/I/414P-2y0jPL.jpg,https://www.amazon.in/Oppo-Realme-Storage-Crystal-Green/dp/B07Y1N7J3D/ref=sr_1_62?dchild=1&keywords=Oppo+Mobiles&qid=1612346916&sr=8-62,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Oppo F5 (Red, 6GB RAM, 64GB)",4.2 out of 5 stars,440,https://images-na.ssl-images-amazon.com/images/I/61T8B4U6Z8L._SY879_.jpg,https://www.amazon.in/Oppo-F5-64GB-Storage-Offers/dp/B078CBN95Q/ref=sr_1_99?dchild=1&keywords=Oppo+Mobiles&qid=1612346927&sr=8-99,16990,16990,16990,16990,16780,16780,16780,16780,16780,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,12990,unavailable
