DESCRIPTION,RATING,REVIEWS COUNT,LINK,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,2021-03-01
Samsung Galaxy M31 Prime Edition ),4.2 out of 5 stars,"132,202",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A066826523L6L4UWOF2H6&url=%2FSamsung-Galaxy-Prime-Space-Storage%2Fdp%2FB085J1D8BH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-1-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,"16,499.00","15,999.00",unavailable,unavailable,unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","16,499.00",unavailable,unavailable,"15,999.00",unavailable,"15,999.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","15,999.00","16,499.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-2-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,"22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_3?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-3,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","13,999.00"
),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_4?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-4,"16,499.00",unavailable,unavailable,unavailable,"16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00"
),3.9 out of 5 stars,"10,058",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_5?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-5,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,775.00","7,499.00","7,499.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_6?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-6,"5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00"
Samsung Galaxy M31 Prime Edition ),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Prime-Space-Storage/dp/B085J1D8BH/ref=sr_1_7?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-7,"16,499.00","15,999.00",unavailable,unavailable,unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","16,499.00",unavailable,unavailable,"15,999.00",unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","15,999.00","16,499.00","15,999.00","16,499.00"
),3.9 out of 5 stars,"10,057",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_8?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-8,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,999.00","8,499.00","7,499.00",unavailable,"7,499.00","7,499.00","7,499.00","7,499.00","7,715.00","7,950.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_9?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-9,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","13,999.00"
),4.3 out of 5 stars,"42,370",https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBB3/ref=sr_1_10?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-10,"19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","18,499.00","18,499.00"
),4.3 out of 5 stars,"42,370",https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBBN/ref=sr_1_11?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-11,"20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Midnight-128GB-Storage/dp/B07HGH88GL/ref=sr_1_12?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-12,"15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00",unavailable
Samsung Galaxy M31 ),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_13?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-13,"16,499.00",unavailable,unavailable,unavailable,"16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_14?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-14,"22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_15?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-15,"5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MTL51J/ref=sr_1_16?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-16,"4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00"
),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Ocean-Blue-Storage/dp/B07HGJKDQL/ref=sr_1_17?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-17,"15,999.00","15,999.00",unavailable,unavailable,unavailable,"15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ6XLH/ref=sr_1_18?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-18,"6,900.00","6,490.00","5,999.00","5,999.00","5,999.00","6,399.00","6,399.00","5,999.00","5,999.00","5,999.00","6,490.00","6,490.00","6,390.00","6,375.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0018770FW4TQ1G9RZHI&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1868F%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346890%26sr%3D8-17-spons%26psc%3D1&qualifier=1612346890&id=1608339889580752&widgetName=sp_atf_next,"24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8ML7/ref=sr_1_18?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-18,"15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","15,999.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1868F/ref=sr_1_19?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-19,"24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_20?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-20,"4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00"
),4.3 out of 5 stars,"42,370",https://www.amazon.in/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJLVHYC/ref=sr_1_21?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-21,"20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","20,499.00","19,499.00","20,499.00","20,499.00","19,499.00","19,499.00","18,499.00","20,499.00"
),4.3 out of 5 stars,"42,370",https://www.amazon.in/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_22?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-22,"19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","18,499.00","18,499.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_23?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-23,"22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00"
Samsung Galaxy M31 ),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGJ7WLM/ref=sr_1_24?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-24,"15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00","15,999.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MSCW8V/ref=sr_1_25?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-25,"4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00","4,999.00"
),3.6 out of 5 stars,"1,339",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCBK16/ref=sr_1_26?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-26,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00"
),3.6 out of 5 stars,"1,339",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KC85W8/ref=sr_1_27?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-27,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1CPCW/ref=sr_1_28?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-28,"24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00","24,999.00"
),4.0 out of 5 stars,"1,047",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KFXPFD/ref=sr_1_30?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-30,"17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00","17,999.00",unavailable
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Iceberg-Blue-Storage/dp/B085J1JRC7/ref=sr_1_31?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-31,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","13,999.00"
),3.6 out of 5 stars,"1,339",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KD6WBF/ref=sr_1_32?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-32,"14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00",unavailable,unavailable,unavailable
),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Iceberg-128GB-Storage/dp/B085HZYM54/ref=sr_1_33?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-33,"16,499.00",unavailable,"16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00188942WWDH4CGH81YR&url=%2FSamsung-Galaxy-Celestial-Black-Storage%2Fdp%2FB085J1X78K%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346893%26sr%3D8-33-spons%26psc%3D1&qualifier=1612346893&id=2620530726061484&widgetName=sp_atf_next,"22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00"
),4.1 out of 5 stars,"1,372",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X8V5YKR/ref=sr_1_34?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-34,"31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","31,999.00","29,999.00","29,999.00","29,999.00","29,999.00","29,999.00","29,999.00"
),3.6 out of 5 stars,"1,339",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B084453J63/ref=sr_1_35?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-35,"17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00","17,499.00"
),3.6 out of 5 stars,"1,339",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCKKW/ref=sr_1_36?dchild=1&keywords=Samsung+Mobiles&qid=1612346893&sr=8-36,"16,498.00","16,498.00","16,498.00","16,498.00","16,498.00","16,498.00","16,498.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00","14,999.00",unavailable
